ID,Godzina rozpoczęcia,Godzina ukończenia,Adres e-mail,Nazwa,Czas ostatniej modyfikacji,"Masz jakiś pomysł na projekt data? Napisz nam o tym. Jeżeli to nie ten moment, pozostaw puste pole.",W jaki sposób chcesz uczestniczyć w Community?,Programming: R,Programming: Python,Programming: Bash,Version Control: GIT,Containers: Docker,"CLI: (np. Bash, PowerShell, CMD)","Front End: (HTML, JavaScript, CSS)",Databases: SQL,Databases: NoSQL,Cloud: Azure,Cloud: AWS,Cloud: GPC,BI: PowerBI,BI: Tableau,Area: Time Series,"Area: Classical ML (Clustering, Regression, Classification)",Area: NLP,Area: Computer Vision,Project Management,Promocja w Social Media,Ux/Ui,Projektowanie graficzne,Nawiązywanie Relacji z Biznesem,Nawiązywanie Relacji z naukowcami,Pozyskiwanie finansowania,Współpraca z administracją UEW,"Jeżeli jest obszar, na którym się znasz i chcesz go wykorzystać, dopisz go:",FinTech,HealthTech,FashionTech,E-commerce,SportTech,Non-profit,PropTech (nieruchomości),Cybersecurity,HR,"Jeżeli pominięto branżę, na której się znasz dopisz ją:"
1,2024-03-05 15:25:52,2024-03-05 15:33:04,anonymous,,,"Projekt ""data"" będący mobilną stacją benzynową, umożliwiającą zdalne tankowanie na bezobsługowych stacjach i organizację miesięcznych kosztów zużycia paliwa.","Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,
2,2024-03-05 15:29:46,2024-03-05 15:35:02,anonymous,,,,Chcę uczestniczyć w projekcie data,3.0,3.0,1.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
3,2024-03-05 15:16:30,2024-03-05 15:37:17,anonymous,,,,Chcę uczestniczyć w projekcie data,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,
4,2024-03-05 15:34:17,2024-03-05 15:38:01,anonymous,,,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,Excel,3.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,
5,2024-03-05 15:34:26,2024-03-05 15:38:20,anonymous,,,Wirtualni doradcy wpływający na pozytywną zmianę w zachowaniu konsumenta. Np zwiększenie skłonności do oszczędzania i planowania finansowego.,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,LawTech
6,2024-03-05 15:25:26,2024-03-05 15:42:56,anonymous,,,modelowanie ryzyka kredytowego ,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,Organizacja eventów,4.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,
7,2024-03-05 15:38:47,2024-03-05 15:43:21,anonymous,,,,Chcę uczestniczyć w projekcie data,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,"Testowanie oprogramowania, proste automaty z użyciem selenium.",2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,
8,2024-03-05 15:50:55,2024-03-05 15:52:28,anonymous,,,,"Póki co chcę czerpać, obserwować, ""konsumować content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-03-05 16:03:01,2024-03-05 16:08:52,anonymous,,,,Chcę uczestniczyć w projekcie data,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,
10,2024-03-05 16:34:12,2024-03-05 16:38:41,anonymous,,,Analiza ruchu drogowego we Wrocławiu na podstawie nagrań z kamer - pozyskanych samodzielnie lub od Gminy Wrocław,Chcę uczestniczyć w projekcie data,1.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,Drążenie Dancyh (Data Mining),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"Life Sciences, trochę się znam"
11,2024-03-05 16:32:10,2024-03-05 16:47:31,anonymous,,,"Pomysłu na projekt nie posiadam w tym momencie ale wydaję mi się, że można by było rozpowszechnić informacje na temat github student developer pack https://education.github.com/students, a także aby jeden ze studentów aplikował na campus experta (następna aplikacja w sierpniu) w całej Polsce jest tylko dwóch jeden na PWr prowadzi PWrski (https://wmsdev.pl/) a drugi na WAT",Chcę uczestniczyć w projekcie data,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,
